soap	put the soap on the bathroom sink
book	put this book on the bookshelf
pan	put this pan on the stove
bag	release the bag
pot	release the pot
box	robot can you bring the cornflakes box from the kitchen table
napkins	robot can you find a pack of napkins
phone	robot carefully search the bedroom for my mobile phone
table	robot could you move near the table
bathroom	robot i need you in the bathroom go there please
pen	robot listen go into the bedroom and find the black pen it should be on the nightstand
glasses	robot please search for the horn glasses
water	could you please bring us some water
knife	could you take the knife on the cutting board
wallet	do you think you can find my wallet
vase	drop the vase
water	find a bottle of water
magazine	find a magazine
tablet	find my tablet
pictures	Robot, I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone
keys	find the keys
wallet	find the wallet
window	go close to the window
poster	go in front of the poster
pouch	get my pouch
newspaper	find the newspaper
tablecloth	remove the tablecloth
dishwasher	switch off the dishwasher 
lamp	go near the lamp
status	Check the status right now
door	go next to the door
garden	go to the garden
beer	grab the beer pack near the kitchen door
book	grab the book with the blue cover
plate	grab the cake plate
key	grab the key
mug	grab this mug
brain	use your brain
watch	i need my watch find it please
aspirin	i really need you to bring me my aspirin it is in one of the drawers of the bathroom
book	look for a blue book in the lounge
phone	look for my mobile phone
bedroom	move to bedroom
ring	i lost my ring in the living room can you search for it maybe it 's near the sofa
sunglasses	please find the sunglasses
paper	please find the toilet paper
pan	please robot put the pan on the stove
pasta	please take some pasta from the kitchen cabinet
newspaper	put down the newspaper
message	Pls send a message
clothes	put my clothes in the washing machine
jacket	put my jacket on the bed
tray	put the baking tray in the oven
jacket	put the jacket in the wardrobe
kettle	put the kettle on the stove
milk	put the milk in the fridge
phone	put the mobile phone in the nightstand
pillow	put the pillow on the bed
pillow	put the pillow on the chair
plate	robot put this plate in the center of the table
hat	robot why do n't you go around and search for my hat
plate	search for a blue plate
scissors	search for the scissors in the red drawer
scissors	search for the scissors they should be in the blue drawer
phone	search the living room for my mobile phone
machine	sorry robot can you turn on the coffee machine
mug	take a coffee mug
trousers	take my trousers on the bed
wristwatch	take my wristwatch
jar	take the apple jam jar
cans	take the beer cans in the kitchen
paperback	take the black paperback from the bookshelf
water	take the bottle of water on the table
box	take the cereal box
mugs	take the coffee mugs from the kitchen cabinet
coke	take the coke that is in the kitchen
can	take the corn can on the kitchen table
forks	take the forks from the dishwasher
jar	take the glass jar
knife	take the knife with the black handle
magazine	take the magazine that is in the bathroom
juice	take the orange juice from the fridge
box	take the salt box
cups	take three coffee cups
napkins	there are some napkins on the kitchen table can you bring them here
bags	there are some plastic bags in the kitchen drawer can you take one and bring it here
wristwatch	there 's a wristwatch on the couch side table can you bring it to me
jacket	there 's a yellow jacket in the dining room can you bring it to me
envelope	you should bring me the brown envelope that is on the table
jacket	take my jacket from the jacket hook in my bedroom
bottle	bring me the bottle
lounge	go to the lounge
water	bring me a glass of water
cereals	bring me the cereals
jar	bring me the cookie jar
glasses	bring me the glasses
beers	bring the beers here
fruit	bring the fruit onto the dining table
paper	bring the toilet paper to the bathroom
mustard	bring us some mustard
eyeglass	can you bring me my eyeglass
tablet	can you bring me my tablet
glass	can you bring the glass to the sink
mayo	can you bring the mayo over here
t-shirt	can you find a red t-shirt in the dresser
glass	can you go to the kitchen find a glass and bring it to me
room	please clean the room
wallet	carefully search for my wallet please
postcard	could you take the postcard on the nightstand please
room	robot, please come to the dining room
food	robot, please bring me the food
food	please buy some food
it	robot, please do it now
phone	robot, pick up the phone
paper	robot, throw the paper in the trash can
paper	throw the paper in the trash can
pizza	bring me some pizza
paper	robot, give me a paper
pen	robot, give me a pen
yourself	shut down yourself
TV	power on the TV
blanket	please bring the blanket
snack	can you please bring some snack
clothes	please wash the clothes
door	can you close the door
plants	please water the plants
paper	robot, please pick the paper
tell	please tell a joke
cook	please cook some food
read	can you read the book for me
phone	please find my phone
door	robot, I need you to open the door
cats	robot, please feed the cats
stand	please lift the stand
table	please lift the plants
kitchen	go to the kitchen
watch	find the watch
room	please clean the room
magazine	find a magazine
wallet	find my wallet
window	can you close the window
pen	please take the my pen
knife	could you take the knife on the cutting board
pen	find the black pen it should be on the nightstand
table	robot could you move near the table
pizza	bring me some pizza
bedroom	please go to the bedroom
jacket	take my jacket from the jacket hook in my bedroom
bottle	bring me the bottle
lounge	go to the lounge
jar	bring me the cookie jar
glasses	bring me the glasses
fruit	bring the fruit onto the dining table
paper	bring the toilet paper to the bathroom
mustard	bring us some mustard
t-shirt	can you find a red t-shirt in the dresser
phone	take my phone
box	take the cereal box
scissors	search for the scissors in the red drawer
pillow	put the pillow on the chair
phone	please bring my phone
lunch	please bring me the lunch
juice	please bring some juice
pizza	please my pizza on the table
book	find a book
book	bring the book
pouch	find her pouch
coat	bring her coat
coffee	bring me coffee
wall	move along the wall
room	go to the dinning room
